Length	Field
0.0000000000E+00	0.0000000000E+00
1.5001500200E-02	6.7021601400E-01
3.0003000300E-02	6.7021808300E-01
4.5004500500E-02	6.7022015200E-01
6.0006000600E-02	6.7022222000E-01
7.5007500800E-02	6.7022428900E-01
9.0009000900E-02	6.7022635800E-01
1.0501050100E-01	6.7022842700E-01
1.2001200100E-01	6.7023049600E-01
1.3501350100E-01	6.7023256500E-01
1.5001500200E-01	6.7023463400E-01
1.6501650200E-01	6.7023670300E-01
1.8001800200E-01	6.7023877200E-01
1.9501950200E-01	6.7024084100E-01
2.1002100200E-01	6.7024291000E-01
2.2502250200E-01	6.7024497900E-01
2.4002400200E-01	6.7024704800E-01
2.5502550300E-01	6.7024911700E-01
2.7002700300E-01	6.7025118600E-01
2.8502850300E-01	6.7025325500E-01
3.0003000300E-01	6.7025532400E-01
3.1503150300E-01	6.7025739300E-01
3.3003300300E-01	6.7025946200E-01
3.4503450300E-01	6.7026153100E-01
3.6003600400E-01	6.7026360000E-01
3.7503750400E-01	6.7026566900E-01
3.9003900400E-01	6.7026773800E-01
4.0504050400E-01	6.7026980700E-01
4.2004200400E-01	6.7027187600E-01
4.3504350400E-01	6.7027394500E-01
4.5004500500E-01	6.7027601400E-01
4.6504650500E-01	6.7027808300E-01
4.8004800500E-01	6.7028015200E-01
4.9504950500E-01	6.7028222100E-01
5.1005100500E-01	6.7028429000E-01
5.2505250500E-01	6.7028635900E-01
5.4005400500E-01	6.7028842800E-01
5.5505550600E-01	6.7029049700E-01
5.7005700600E-01	6.7029256700E-01
5.8505850600E-01	6.7029463600E-01
6.0006000600E-01	6.7029670500E-01
6.1506150600E-01	6.7029877400E-01
6.3006300600E-01	6.7030084300E-01
6.4506450600E-01	6.7030291200E-01
6.6006600700E-01	6.7030498100E-01
6.7506750700E-01	6.7030705000E-01
6.9006900700E-01	6.7030911900E-01
7.0507050700E-01	6.7031118900E-01
7.2007200700E-01	6.7031325800E-01
7.3507350700E-01	6.7031532700E-01
7.5007500800E-01	6.7031739600E-01
7.6507650800E-01	6.7031946500E-01
7.8007800800E-01	6.7032153400E-01
7.9507950800E-01	6.7032360400E-01
8.1008100800E-01	6.7032567300E-01
8.2508250800E-01	6.7032774200E-01
8.4008400800E-01	6.7032981100E-01
8.5508550900E-01	6.7033188000E-01
8.7008700900E-01	6.7033394900E-01
8.8508850900E-01	6.7033601900E-01
9.0009000900E-01	6.7033808800E-01
9.1509150900E-01	6.7034015700E-01
9.3009300900E-01	6.7034222600E-01
9.4509450900E-01	6.7034429600E-01
9.6009601000E-01	6.7034636500E-01
9.7509751000E-01	6.7034843400E-01
9.9009901000E-01	6.7035050300E-01
1.0051005100E+00	6.7035257200E-01
1.0201020100E+00	6.7035464200E-01
1.0351035100E+00	6.7035671100E-01
1.0501050100E+00	6.7040530400E-01
1.0651065100E+00	6.7046568400E-01
1.0801080100E+00	6.7052606400E-01
1.0951095100E+00	6.7058644500E-01
1.1101110100E+00	6.7064682600E-01
1.1251125100E+00	6.7070720700E-01
1.1401140100E+00	6.7076758900E-01
1.1551155100E+00	6.7082797200E-01
1.1701170100E+00	6.7088835500E-01
1.1851185100E+00	6.7094873800E-01
1.2001200100E+00	6.7100912100E-01
1.2151215100E+00	6.7106950600E-01
