Length	Field
0.0000000000E+00	0.0000000000E+00
1.5001500200E-02	1.7679133200E+00
3.0003000300E-02	1.7687756200E+00
4.5004500500E-02	1.7696382300E+00
6.0006000600E-02	1.7705011300E+00
7.5007500800E-02	1.7713643300E+00
9.0009000900E-02	1.7722278300E+00
1.0501050100E-01	1.7730916300E+00
1.2001200100E-01	1.7739557300E+00
1.3501350100E-01	1.7748057400E+00
1.5001500200E-01	1.7753745900E+00
1.6501650200E-01	1.7759434800E+00
1.8001800200E-01	1.7765124000E+00
1.9501950200E-01	1.7770813500E+00
2.1002100200E-01	1.7776503300E+00
2.2502250200E-01	1.7782193400E+00
2.4002400200E-01	1.7787883900E+00
2.5502550300E-01	1.7793574700E+00
2.7002700300E-01	1.7799265800E+00
2.8502850300E-01	1.7804957300E+00
3.0003000300E-01	1.7810649000E+00
3.1503150300E-01	1.7816341100E+00
3.3003300300E-01	1.7822033500E+00
3.4503450300E-01	1.7827726200E+00
3.6003600400E-01	1.7833419200E+00
3.7503750400E-01	1.7839112600E+00
3.9003900400E-01	1.7844806200E+00
4.0504050400E-01	1.7849434700E+00
4.2004200400E-01	1.7853267000E+00
4.3504350400E-01	1.7857099300E+00
4.5004500500E-01	1.7860931700E+00
4.6504650500E-01	1.7864764000E+00
4.8004800500E-01	1.7868596400E+00
4.9504950500E-01	1.7872428900E+00
5.1005100500E-01	1.7876261300E+00
5.2505250500E-01	1.7880093800E+00
5.4005400500E-01	1.7883926300E+00
5.5505550600E-01	1.7887758800E+00
5.7005700600E-01	1.7891591300E+00
5.8505850600E-01	1.7895423900E+00
6.0006000600E-01	1.7899256500E+00
6.1506150600E-01	1.7903089100E+00
6.3006300600E-01	1.7906921800E+00
6.4506450600E-01	1.7910754400E+00
6.6006600700E-01	1.7914411500E+00
6.7506750700E-01	1.7916414100E+00
6.9006900700E-01	1.7918416700E+00
7.0507050700E-01	1.7920419300E+00
7.2007200700E-01	1.7922421900E+00
7.3507350700E-01	1.7924424600E+00
7.5007500800E-01	1.7926427200E+00
